task_id,model_id,category,text,tool_call,response,task_name,label,details
"dom1_pl_lights_lights-dining_room_light_off-0","devstral-2512","light","Dining room light off","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Dining Room Light', 'domain': ['light']}}","The dining room light is now off.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-dining_room_light_off-1","devstral-2512","light","Dining room light off","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Dining Room Light', 'domain': ['light']}}","The dining room light is now off.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-dining_room_light_off-2","devstral-2512","light","Dining room light off","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Dining Room Light', 'domain': ['light']}}","The dining room light is now off.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-dining_room_light_off-3","devstral-2512","light","Dining room light off","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Dining Room Light', 'domain': ['light']}}","The dining room light is now off.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-kitchen_light_off-0","devstral-2512","light","Kitchen light off","{'tool_name': 'HassTurnOff', 'tool_args': {'domain': ['light'], 'area': 'Kitchen'}}","The kitchen light is now off.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-kitchen_light_off-1","devstral-2512","light","Kitchen light off","{'tool_name': 'HassTurnOff', 'tool_args': {'domain': ['light'], 'area': 'Kitchen'}}","The kitchen light is now off.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-kitchen_light_off-2","devstral-2512","light","Kitchen light off","{'tool_name': 'HassTurnOff', 'tool_args': {'domain': ['light'], 'area': 'Kitchen'}}","The kitchen light is now off.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-kitchen_light_off-3","devstral-2512","light","Kitchen light off","{'tool_name': 'HassTurnOff', 'tool_args': {'domain': ['light'], 'area': 'Kitchen'}}","The kitchen light is now off.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-please_turn_on_the_kitchen_light-0","devstral-2512","light","Please turn on the kitchen light","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Kitchen Light', 'domain': ['light']}}","The kitchen light is now on.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-please_turn_on_the_kitchen_light-1","devstral-2512","light","Please turn on the kitchen light","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': ['light'], 'area': 'Kitchen'}}","The kitchen light is now on.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-please_turn_on_the_kitchen_light-2","devstral-2512","light","Please turn on the kitchen light","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': ['light'], 'area': 'Kitchen'}}","The kitchen light is now on.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-please_turn_on_the_kitchen_light-3","devstral-2512","light","Please turn on the kitchen light","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': ['light'], 'area': 'Kitchen'}}","The kitchen light is now on.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-turn_on_the_backyard_light-0","devstral-2512","light","Turn on the Backyard light","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': ['light'], 'area': 'Backyard'}}","The Backyard light is now on.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-turn_on_the_backyard_light-1","devstral-2512","light","Turn on the Backyard light","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': ['light'], 'area': 'Backyard'}}","The Backyard light is now on.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-turn_on_the_backyard_light-2","devstral-2512","light","Turn on the Backyard light","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': ['light'], 'area': 'Backyard'}}","The Backyard light is now on.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-turn_on_the_backyard_light-3","devstral-2512","light","Turn on the Backyard light","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': ['light'], 'area': 'Backyard'}}","The Backyard light is now on.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-turn_on_the_living_room_light-0","devstral-2512","light","Turn on the living room light","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': ['light'], 'area': 'Living Room'}}","The living room light is now on.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-turn_on_the_living_room_light-1","devstral-2512","light","Turn on the living room light","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': ['light'], 'area': 'Living Room'}}","The living room light is now on.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-turn_on_the_living_room_light-2","devstral-2512","light","Turn on the living room light","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': ['light'], 'area': 'Living Room'}}","The living room light is now on.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-turn_on_the_living_room_light-3","devstral-2512","light","Turn on the living room light","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': ['light'], 'area': 'Living Room'}}","The living room light is now on.","eval-test_expected_states","Good",""
"dom1_pl_todo_todo-add_clean_the_kitchen_to_my_todo_list-0","devstral-2512","todo","Add clean the kitchen to my todo list","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'clean the kitchen', 'name': 'Personal Tasks'}}","Done! I've added 'clean the kitchen' to your Personal Tasks list.","eval-test_expected_states","Good",""
"dom1_pl_todo_todo-add_clean_the_kitchen_to_my_todo_list-1","devstral-2512","todo","Add clean the kitchen to my todo list","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'clean the kitchen', 'name': 'Personal Tasks'}}","Done! I've added 'clean the kitchen' to your Personal Tasks list.","eval-test_expected_states","Good",""
"dom1_pl_todo_todo-add_clean_the_kitchen_to_my_todo_list-2","devstral-2512","todo","Add clean the kitchen to my todo list","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'clean the kitchen', 'name': 'Personal Tasks'}}","Done! I've added 'clean the kitchen' to your Personal Tasks list.","eval-test_expected_states","Good",""
"dom1_pl_todo_todo-add_clean_the_kitchen_to_my_todo_list-3","devstral-2512","todo","Add clean the kitchen to my todo list","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'clean the kitchen', 'name': 'Personal Tasks'}}","Added 'clean the kitchen' to your Personal Tasks todo list.","eval-test_expected_states","Good",""
"dom1_pl_todo_todo-add_history_homework_to_my_personal_tasks-0","devstral-2512","todo","Add history homework to my personal tasks","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'history homework', 'name': 'Personal Tasks'}}","Added 'history homework' to your personal tasks.","eval-test_expected_states","Good",""
"dom1_pl_todo_todo-add_history_homework_to_my_personal_tasks-1","devstral-2512","todo","Add history homework to my personal tasks","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'history homework', 'name': 'Personal Tasks'}}","Added 'history homework' to your Personal Tasks.","eval-test_expected_states","Good",""
"dom1_pl_todo_todo-add_history_homework_to_my_personal_tasks-2","devstral-2512","todo","Add history homework to my personal tasks","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'history homework', 'name': 'Personal Tasks'}}","History homework has been added to your personal tasks.","eval-test_expected_states","Good",""
"dom1_pl_todo_todo-add_history_homework_to_my_personal_tasks-3","devstral-2512","todo","Add history homework to my personal tasks","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'history homework', 'name': 'Personal Tasks'}}","History homework has been added to your personal tasks.","eval-test_expected_states","Good",""
"dom1_pl_todo_todo-add_history_homework_to_my_tasks-0","devstral-2512","todo","Add history homework to my tasks","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'history homework', 'name': 'Personal Tasks'}}","Added 'history homework' to your Personal Tasks list.","eval-test_expected_states","Good",""
"dom1_pl_todo_todo-add_history_homework_to_my_tasks-1","devstral-2512","todo","Add history homework to my tasks","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'history homework', 'name': 'Personal Tasks'}}","History homework has been added to your Personal Tasks list.","eval-test_expected_states","Good",""
"dom1_pl_todo_todo-add_history_homework_to_my_tasks-2","devstral-2512","todo","Add history homework to my tasks","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'history homework', 'name': 'Personal Tasks'}}","Added 'history homework' to your Personal Tasks list.","eval-test_expected_states","Good",""
"dom1_pl_todo_todo-add_history_homework_to_my_tasks-3","devstral-2512","todo","Add history homework to my tasks","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'history homework', 'name': 'Personal Tasks'}}","Added 'history homework' to your Personal Tasks list.","eval-test_expected_states","Good",""
"dom1_pl_todo_todo-put_history_homework_on_personal_tasks_todo_list-0","devstral-2512","todo","Put history homework on personal tasks todo list","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'history homework', 'name': 'Personal Tasks'}}","History homework has been added to your Personal Tasks todo list.","eval-test_expected_states","Good",""
"dom1_pl_todo_todo-put_history_homework_on_personal_tasks_todo_list-1","devstral-2512","todo","Put history homework on personal tasks todo list","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'history homework', 'name': 'Personal Tasks'}}","History homework has been added to your Personal Tasks todo list.","eval-test_expected_states","Good",""
"dom1_pl_todo_todo-put_history_homework_on_personal_tasks_todo_list-2","devstral-2512","todo","Put history homework on personal tasks todo list","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'history homework', 'name': 'Personal Tasks'}}","History homework has been added to your Personal Tasks todo list.","eval-test_expected_states","Good",""
"dom1_pl_todo_todo-put_history_homework_on_personal_tasks_todo_list-3","devstral-2512","todo","Put history homework on personal tasks todo list","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'history homework', 'name': 'Personal Tasks'}}","History homework has been added to your Personal Tasks todo list.","eval-test_expected_states","Good",""
"home1_us_cover_garage_cover_garage-close_the_garage_door-0","devstral-2512","cover","Close the garage door","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Garage Door Opener', 'domain': ['cover']}}","The garage door is now closed.","eval-test_expected_states","Good",""
"home1_us_cover_garage_cover_garage-close_the_garage_door-1","devstral-2512","cover","Close the garage door","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Garage Door Opener', 'domain': ['cover']}}","The garage door is now closed.","eval-test_expected_states","Good",""
"home1_us_cover_garage_cover_garage-close_the_garage_door-2","devstral-2512","cover","Close the garage door","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Garage Door Opener', 'domain': ['cover']}}","The garage door is now closed.","eval-test_expected_states","Good",""
"home1_us_cover_garage_cover_garage-close_the_garage_door-3","devstral-2512","cover","Close the garage door","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Garage Door Opener', 'domain': ['cover']}}","The garage door is now closed.","eval-test_expected_states","Good",""
"home1_us_cover_garage_cover_garage-open_the_garage_door-0","devstral-2512","cover","Open the garage door","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Garage Door Opener', 'domain': ['cover']}}","The garage door is now open.","eval-test_expected_states","Good",""
"home1_us_cover_garage_cover_garage-open_the_garage_door-1","devstral-2512","cover","Open the garage door","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Garage Door Opener', 'domain': ['cover']}}","The garage door is now open.","eval-test_expected_states","Good",""
"home1_us_cover_garage_cover_garage-open_the_garage_door-2","devstral-2512","cover","Open the garage door","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Garage Door Opener', 'domain': ['cover']}}","The garage door is now open.","eval-test_expected_states","Good",""
"home1_us_cover_garage_cover_garage-open_the_garage_door-3","devstral-2512","cover","Open the garage door","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Garage Door Opener', 'domain': ['cover']}}","The garage door is now open.","eval-test_expected_states","Good",""
"home1_us_cover_garage_cover_garage-please_close_the_garage_door-0","devstral-2512","cover","Please close the garage door","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Garage Door Opener', 'domain': ['cover']}}","The garage door is now closed.","eval-test_expected_states","Bad","AssertionError: assert not {'cover.garage_door_opener': {'expected': {'state': 'closed'}, 'got': {'state': 'open'}}}"
"home1_us_cover_garage_cover_garage-please_close_the_garage_door-1","devstral-2512","cover","Please close the garage door","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Garage Door Opener', 'domain': ['cover']}}","The garage door is now closed.","eval-test_expected_states","Good",""
"home1_us_cover_garage_cover_garage-please_close_the_garage_door-2","devstral-2512","cover","Please close the garage door","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Garage Door Opener', 'domain': ['cover']}}","The garage door is now closed.","eval-test_expected_states","Good",""
"home1_us_cover_garage_cover_garage-please_close_the_garage_door-3","devstral-2512","cover","Please close the garage door","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Garage Door Opener', 'domain': ['cover']}}","The garage door is now closed.","eval-test_expected_states","Good",""
"home1_us_cover_garage_cover_garage-please_open_the_garage_door-0","devstral-2512","cover","Please open the garage door","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Garage Door Opener', 'domain': ['cover']}}","The garage door is now open.","eval-test_expected_states","Good",""
"home1_us_cover_garage_cover_garage-please_open_the_garage_door-1","devstral-2512","cover","Please open the garage door","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Garage Door Opener', 'domain': ['cover']}}","The garage door is now open.","eval-test_expected_states","Good",""
"home1_us_cover_garage_cover_garage-please_open_the_garage_door-2","devstral-2512","cover","Please open the garage door","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Garage Door Opener', 'domain': ['cover']}}","The garage door is now open.","eval-test_expected_states","Good",""
"home1_us_cover_garage_cover_garage-please_open_the_garage_door-3","devstral-2512","cover","Please open the garage door","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Garage Door Opener', 'domain': ['cover']}}","The garage door is now open.","eval-test_expected_states","Good",""
"home1_us_lock_smart_lock-lock_smart_lock-0","devstral-2512","lock","Lock smart lock","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Smart Lock', 'domain': ['lock']}}","The smart lock is now locked.","eval-test_expected_states","Good",""
"home1_us_lock_smart_lock-lock_smart_lock-1","devstral-2512","lock","Lock smart lock","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Smart Lock', 'domain': ['lock']}}","The smart lock is now locked.","eval-test_expected_states","Good",""
"home1_us_lock_smart_lock-lock_smart_lock-2","devstral-2512","lock","Lock smart lock","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': ['lock'], 'name': 'Smart Lock'}}","The smart lock is now locked.","eval-test_expected_states","Good",""
"home1_us_lock_smart_lock-lock_smart_lock-3","devstral-2512","lock","Lock smart lock","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Smart Lock', 'domain': ['lock']}}","The smart lock is now locked.","eval-test_expected_states","Good",""
"home1_us_lock_smart_lock-lock_the_entry_lock-0","devstral-2512","lock","Lock the entry lock","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': ['lock'], 'area': 'Entry'}}","The entry lock is now locked.","eval-test_expected_states","Good",""
"home1_us_lock_smart_lock-lock_the_entry_lock-1","devstral-2512","lock","Lock the entry lock","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Smart Lock', 'domain': ['lock'], 'area': 'Entry'}}","The entry lock is now locked.","eval-test_expected_states","Good",""
"home1_us_lock_smart_lock-lock_the_entry_lock-2","devstral-2512","lock","Lock the entry lock","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': ['lock'], 'area': 'Entry'}}","The entry lock is now locked.","eval-test_expected_states","Good",""
"home1_us_lock_smart_lock-lock_the_entry_lock-3","devstral-2512","lock","Lock the entry lock","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': ['lock'], 'area': 'Entry'}}","The entry lock is now locked.","eval-test_expected_states","Good",""
"home1_us_lock_smart_lock-unlock_smart_lock-0","devstral-2512","lock","Unlock smart lock","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Smart Lock', 'domain': ['lock']}}","The smart lock has been unlocked.","eval-test_expected_states","Good",""
"home1_us_lock_smart_lock-unlock_smart_lock-1","devstral-2512","lock","Unlock smart lock","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Smart Lock', 'domain': ['lock']}}","The smart lock has been unlocked.","eval-test_expected_states","Good",""
"home1_us_lock_smart_lock-unlock_smart_lock-2","devstral-2512","lock","Unlock smart lock","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Smart Lock', 'domain': ['lock']}}","The smart lock has been unlocked.","eval-test_expected_states","Good",""
"home1_us_lock_smart_lock-unlock_smart_lock-3","devstral-2512","lock","Unlock smart lock","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Smart Lock', 'domain': ['lock']}}","The smart lock has been unlocked.","eval-test_expected_states","Good",""
"home1_us_lock_smart_lock-unlock_the_entry_lock-0","devstral-2512","lock","Unlock the entry lock","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Smart Lock', 'domain': ['lock'], 'area': 'Entry'}}","The entry lock is now unlocked.","eval-test_expected_states","Good",""
"home1_us_lock_smart_lock-unlock_the_entry_lock-1","devstral-2512","lock","Unlock the entry lock","{'tool_name': 'HassTurnOff', 'tool_args': {'domain': ['lock'], 'area': 'Entry'}}","The entry lock is now unlocked.","eval-test_expected_states","Good",""
"home1_us_lock_smart_lock-unlock_the_entry_lock-2","devstral-2512","lock","Unlock the entry lock","{'tool_name': 'HassTurnOff', 'tool_args': {'domain': ['lock'], 'area': 'Entry'}}","The entry lock is now unlocked.","eval-test_expected_states","Good",""
"home1_us_lock_smart_lock-unlock_the_entry_lock-3","devstral-2512","lock","Unlock the entry lock","{'tool_name': 'HassTurnOff', 'tool_args': {'domain': ['lock'], 'area': 'Entry'}}","The entry lock is now unlocked.","eval-test_expected_states","Good",""
"home1_us_vacuum_vacuum-return_roborock_downstairs_to_base-0","devstral-2512","vacuum","Return Roborock Downstairs to base","{'tool_name': 'HassVacuumReturnToBase', 'tool_args': {'name': 'Roborock Downstairs', 'domain': ['vacuum']}}","Roborock Downstairs is returning to base.","eval-test_expected_states","Good",""
"home1_us_vacuum_vacuum-return_roborock_downstairs_to_base-1","devstral-2512","vacuum","Return Roborock Downstairs to base","{'tool_name': 'HassVacuumReturnToBase', 'tool_args': {'name': 'Roborock Downstairs', 'domain': ['vacuum']}}","Roborock Downstairs is returning to base.","eval-test_expected_states","Good",""
"home1_us_vacuum_vacuum-return_roborock_downstairs_to_base-2","devstral-2512","vacuum","Return Roborock Downstairs to base","{'tool_name': 'HassVacuumReturnToBase', 'tool_args': {'name': 'Roborock Downstairs', 'domain': ['vacuum']}}","Roborock Downstairs is returning to base.","eval-test_expected_states","Good",""
